2022-05-18 23:05:911 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 23:05:303 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 23:05:73 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 23:05:684 INFO  HomePage :29 - Mouse Hover to Buy+Sell tab :[[ChromeDriver: chrome on WINDOWS (50915aa5b4bc89e34be8169f4785759b)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 23:05:559 INFO  NewAndUsedCarSearchPage :43 - select car make from dropDown : [[ChromeDriver: chrome on WINDOWS (50915aa5b4bc89e34be8169f4785759b)] -> id: makes]
2022-05-18 23:05:830 INFO  NewAndUsedCarSearchPage :47 - Select car model : [[ChromeDriver: chrome on WINDOWS (50915aa5b4bc89e34be8169f4785759b)] -> id: models]
2022-05-18 23:05:82 INFO  NewAndUsedCarSearchPage :51 - Select location : NSW - Sydney
2022-05-18 23:05:330 INFO  NewAndUsedCarSearchPage :55 - Select price : [[ChromeDriver: chrome on WINDOWS (50915aa5b4bc89e34be8169f4785759b)] -> id: priceTo]
2022-05-18 23:05:684 INFO  NewAndUsedCarSearchPage :59 - Click on find my car button : [[ChromeDriver: chrome on WINDOWS (50915aa5b4bc89e34be8169f4785759b)] -> id: search-submit]
2022-05-18 23:05:522 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 23:05:633 INFO  HomePage :29 - Mouse Hover to Buy+Sell tab :[[ChromeDriver: chrome on WINDOWS (25ff999a78823b7c15c3284fc97880f9)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 23:05:448 INFO  HomePage :33 - Click on search car link : [[ChromeDriver: chrome on WINDOWS (25ff999a78823b7c15c3284fc97880f9)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-18 23:05:281 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 23:05:94 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 23:05:230 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 23:05:246 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 23:05:852 INFO  HomePage :33 - Mouse Hover to Buy+Sell tab :[[ChromeDriver: chrome on WINDOWS (29a6973be9e63c85f544bb409815f3eb)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 23:05:740 INFO  HomePage :42 - Click on used car link :[[ChromeDriver: chrome on WINDOWS (29a6973be9e63c85f544bb409815f3eb)] -> xpath: //a[normalize-space()='Used']]
2022-05-18 23:05:200 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 23:05:863 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 23:05:40 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 23:05:203 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 23:05:579 INFO  HomePage :33 - Mouse Hover to Buy+Sell tab :[[ChromeDriver: chrome on WINDOWS (41101484886bc2625fa48d406ee739c2)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 23:05:15 INFO  HomePage :37 - Click on search car link : [[ChromeDriver: chrome on WINDOWS (41101484886bc2625fa48d406ee739c2)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-18 23:05:493 INFO  NewAndUsedCarSearchPage :44 - select car make from dropDown : [[ChromeDriver: chrome on WINDOWS (41101484886bc2625fa48d406ee739c2)] -> id: makes]
2022-05-18 23:05:695 INFO  NewAndUsedCarSearchPage :48 - Select car model : [[ChromeDriver: chrome on WINDOWS (41101484886bc2625fa48d406ee739c2)] -> id: models]
2022-05-18 23:05:852 INFO  NewAndUsedCarSearchPage :52 - Select location : NSW - Sydney
2022-05-18 23:05:49 INFO  NewAndUsedCarSearchPage :56 - Select price : [[ChromeDriver: chrome on WINDOWS (41101484886bc2625fa48d406ee739c2)] -> id: priceTo]
2022-05-18 23:05:847 INFO  NewAndUsedCarSearchPage :60 - Click on find my car button : [[ChromeDriver: chrome on WINDOWS (41101484886bc2625fa48d406ee739c2)] -> id: search-submit]
2022-05-18 23:05:965 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 23:05:946 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 23:05:601 INFO  HomePage :33 - Mouse Hover to Buy+Sell tab :[[ChromeDriver: chrome on WINDOWS (6de77c3243390cf2368c8bd51418304f)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 23:05:322 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 23:05:310 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 23:05:383 INFO  HomePage :33 - Mouse Hover to Buy+Sell tab :[[ChromeDriver: chrome on WINDOWS (ced8c2eb144c1b21be9225b379b88cf8)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 23:05:152 INFO  HomePage :37 - Click on search car link : [[ChromeDriver: chrome on WINDOWS (ced8c2eb144c1b21be9225b379b88cf8)] -> xpath: //a[contains(text(),'Search Cars')]]
